#_1.r   2.|psi|   3.d|psi|/dr 

  5.0600    9.7082e-03   -1.0615e-02
  5.0700    9.6026e-03   -1.0497e-02
  5.0800    9.4982e-03   -1.0381e-02
  5.0900    9.3950e-03   -1.0266e-02
  5.1000    9.2929e-03   -1.0153e-02
  5.1100    9.1919e-03   -1.0041e-02
  5.1200    9.0921e-03   -9.9299e-03
  5.1300    8.9933e-03   -9.8202e-03
  5.1400    8.8957e-03   -9.7117e-03
  5.1500    8.7991e-03   -9.6045e-03
  5.1600    8.7036e-03   -9.4985e-03
  5.1700    8.6091e-03   -9.3936e-03
  5.1800    8.5157e-03   -9.2899e-03
  5.1900    8.4233e-03   -9.1874e-03
  5.2000    8.3320e-03   -9.0861e-03
  5.2100    8.2416e-03   -8.9859e-03
  5.2200    8.1522e-03   -8.8868e-03
  5.2300    8.0639e-03   -8.7888e-03
  5.2400    7.9765e-03   -8.6919e-03
  5.2500    7.8900e-03   -8.5961e-03
  5.2600    7.8045e-03   -8.5013e-03
  5.2700    7.7200e-03   -8.4077e-03
  5.2800    7.6364e-03   -8.3150e-03
  5.2900    7.5537e-03   -8.2234e-03
  5.3000    7.4719e-03   -8.1329e-03
  5.3100    7.3910e-03   -8.0433e-03
  5.3200    7.3110e-03   -7.9548e-03
  5.3300    7.2319e-03   -7.8672e-03
  5.3400    7.1537e-03   -7.7806e-03
  5.3500    7.0763e-03   -7.6950e-03
  5.3600    6.9998e-03   -7.6103e-03
  5.3700    6.9241e-03   -7.5266e-03
  5.3800    6.8493e-03   -7.4438e-03
  5.3900    6.7752e-03   -7.3619e-03
  5.4000    6.7020e-03   -7.2810e-03
  5.4100    6.6296e-03   -7.2009e-03
  5.4200    6.5580e-03   -7.1218e-03
  5.4300    6.4872e-03   -7.0435e-03
  5.4400    6.4171e-03   -6.9661e-03
  5.4500    6.3479e-03   -6.8896e-03
  5.4600    6.2793e-03   -6.8139e-03
  5.4700    6.2116e-03   -6.7390e-03
  5.4800    6.1446e-03   -6.6650e-03
  5.4900    6.0783e-03   -6.5918e-03
  5.5000    6.0127e-03   -6.5194e-03
  5.5100    5.9479e-03   -6.4478e-03
  5.5200    5.8838e-03   -6.3771e-03
  5.5300    5.8203e-03   -6.3071e-03
  5.5400    5.7576e-03   -6.2378e-03
